I ran after him shouting his name but he did not hear me because of the noise.,J'ai couru après lui en criant son nom mais il ne m'a pas entendu à cause du bruit
It is one in the afternoon and we are already out of water.,Il est une heure de l'après-midi et nous sommes déjà à court d'eau
"Jean and Isabelle, you should be on an empty stomach when you go to the medical assay office.","Jean et Isabelle, vous devrez arriver à jeun au laboratoire d'analyses médicales"
"Needless to say, students must show respect to their professors.","Les étudiants doivent faire preuve de respect à l'égard de leurs professeurs, cela va sans dire"
"There you go! You should take your sweater off, you have put it inside out.","Tiens! enlève donc ton pull, tu l'as mis à l'envers"
I have decided to go see him off the cuff.,J'ai décidé d'aller le voir à l'improviste
"Your little brother has good marks at school. On the contrary, your little sister has difficulties.","Ton petit frère a de bons résultats à l'école ; à l'inverse, ta petite sœur est en difficulté"
"As exams are approaching, students are more and more stressed out.","A mesure que les examens se rapprochent, les étudiants sont de plus en plus stressés"
"To be at his place at 8, you should leave at 7 unless you take a cab.","Pour arriver chez lui à 20h, il faut que tu partes à 19h, à moins que tu ne prennes un taxi"
They are working together again.,Ils travaillent à nouveau ensemble
No important decision has been taken at the end of the meeting.,Aucune décision importante n'a été prise à l'issue de la réunion
"Everyone came to the meeting, except the accountant.","Tout le monde est venu à la réunion, à part le comptable"
"Starting tomorrow, there will not be languages classes in the evening.","A partir de demain, il n'y aura plus cours de langues le soir"
"Kitamura, whose parents are Japanese, barely knows any French.","Kitamura, dont les parents sont japonais, sait à peine parler français"
"Based on what my brother told me, the movie theater is at about two hundred meters.","D'après ce que m'a dit mon frère, le cinéma est à peu près à deux cent mètres"
"A posteriori, this change of policy was not a good idea.","A posteriori, ce changement de politique n'était pas une si bonne idée"
"The enrollments for this class are ending tomorrow; a priori, I should be in.","Les inscriptions pour ce cours se terminent demain; a priori, je devrais être pris"
I have decided to live close by where I work.,J'ai décidé de m'installer à proximité de mon travail
I have to return this report on time at any price.,Il faut à tout prix que je rende ce rapport à temps
I heard that you sheltered an abandoned dog.,J'ai entendu dire que tu avais recueilli un chien abandonné
We can see the slaughterhouse from my window.,Depuis ma fenêtre on peut voir l'abattoir
He nearly slaughtered the herd because one cow had gotten sick.,Il a failli abattre le troupeau parce qu'une des vaches était tombée malade
The abscess is too infected for you to treat it yourself.,L'abcès est trop infecté pour que tu puisses le traiter toi-même
The king had to abdicate because of the scandal.,Le roi a dû abdiquer à cause du scandale
What I am absolutely certain of is that the results of this experiment are absurd.,"Ce dont je suis absolument certain, c'est que les résultats de cette expérience sont aberrants"
We should be very careful about not damaging this piece of furniture during the house moving.,Il faut faire attention à ne pas abîmer ce meuble pendant le déménagement
The barking of the dog woke up the entire neighborhood at two in the morning.,Les aboiements du chien ont réveillé tout le quartier à deux heures du matin
Slavery has been abolished during the revolution and then re-established during the empire.,"L'esclavage a été aboli au cours de la révolution, puis rétabli sous l'empire"
This newspaper has more than one hundred thousands subscribers.,Ce journal plus de cent mille abonnés
"I have subscribed to a weekly newspaper called ""Weekly Planet"" and to a monthly magazine.","Je me suis abonné à un journal hebdomadaire nommé ""Weekly Planet"",et à une revue mensuelle"
You should avoid writing too many abbreviations while writing a report.,Il faut éviter de mettre trop d'abréviations quand tu rédiges un rapport
The cat is looking for shelter to protect himself from the rain.,Le chat cherche un abri pour se protéger de la pluie
"The slope is very abrupt, be careful on your way down.","La pente est très abrupte, fais attention en la descendant"
The abstention rate was high in spite of the stakes of the vote.,"L'abstention a été élevée, malgré l'enjeu du scrutin"
My two brothers abstained at the last elections. The two of them are loosing interest for politics.,Mes deux frères se sont abstenus aux dernières élections. L'un comme l'autre se désintéressent de la politique
I heard him having a completely absurd reasoning.,Je l'ai entendu tenir un raisonnement complètement absurde
Abusing alcohol can harm your health.,L'abus d'alcool est dangereux pour la santé
He managed to take advantage of his trust again.,Il a encore réussi à abuser de sa confiance
This martial arts academy opened in 1988.,Cette académie d'arts martiaux a ouvert en 1988
"Among the academic disciplines, he likes physics the best.","Parmi les disciplines académiques, c'est la physique qu'il aime le plus"
"These furnititures are pine, those ones are mahogany.","Ces meubles-ci sont en pin, ceux-là sont en acajou"
"What I am sure of is that the lull will not last long, it will rain again soon.","Ce dont je suis sûr, c'est que l'accalmie ne va pas durer longtemps, il va recommencer à pleuvoir bientôt"
It is easy to get this piece of information.,Il est facile d'accéder à cette information
The passengers are glued to their seats because of the acceleration.,Les passagers sont collés à leur siège du fait de l'accélération
He is glad you accepted his offer.,Il est content que tu aies accepté sa proposition
"Last Thursday, I have been told that I could have access to the library on that very evening.",On m'avait dit jeudi dernier que j'aurais accès à la bibliothèque le soir-même
He has high responsabilities but he remains very reachable.,Il a des responsabilités élevées mais il demeure très accessible
I bought accessories for the car.,J'ai acheté des accessoires pour la voiture
